,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,서울
2021년 04월 25일,1,17,78,10,58,36,64,50,575,1,38,17,21,59,219,121,444
2021년 04월 24일,1,17,77,10,58,36,64,50,575,1,38,17,21,59,219,121,444
2021년 04월 23일,1,17,77,10,58,36,64,50,575,1,37,17,21,59,219,121,444
2021년 04월 22일,1,17,77,10,58,36,64,50,574,1,37,16,21,59,219,121,443
2021년 04월 21일,1,17,77,10,58,36,64,50,573,1,37,16,21,58,219,121,443
2021년 04월 20일,1,17,77,10,57,36,63,50,571,1,37,16,21,58,219,121,443
2021년 04월 19일,1,17,77,10,57,36,63,50,570,1,37,16,21,58,219,121,443
2021년 04월 18일,1,17,77,10,57,36,62,50,567,1,37,16,21,58,219,121,443
2021년 04월 17일,1,17,77,10,57,36,61,50,565,1,37,16,21,58,219,121,443
2021년 04월 16일,1,17,77,10,57,36,61,50,563,1,37,16,21,58,219,120,442
2021년 04월 15일,1,17,77,10,57,36,61,50,563,1,37,16,21,58,219,120,440
2021년 04월 14일,1,17,76,10,57,36,61,49,561,1,37,16,21,58,219,120,438
2021년 04월 13일,1,17,76,8,57,36,61,48,558,1,37,16,21,58,219,120,437
2021년 04월 12일,1,17,76,8,57,36,61,48,556,1,37,16,21,58,218,120,435
2021년 04월 11일,1,17,76,8,57,36,61,48,555,1,37,16,21,58,218,120,434
2021년 04월 10일,1,17,76,8,57,35,61,48,553,1,37,16,21,58,218,120,434
2021년 04월 09일,1,17,76,8,57,35,61,48,553,1,37,16,21,58,218,119,434
2021년 04월 08일,1,17,76,8,57,35,61,48,550,1,37,16,21,58,218,119,431
2021년 04월 07일,1,16,76,8,57,35,61,48,549,1,37,16,21,58,218,119,431
2021년 04월 06일,1,16,76,8,57,35,61,48,547,1,37,16,21,58,218,119,429
2021년 04월 05일,1,16,76,8,57,35,61,48,544,1,37,16,21,57,218,119,429
2021년 04월 04일,1,16,76,8,57,35,61,47,541,1,37,16,21,57,218,119,429
2021년 04월 03일,1,16,76,8,57,35,61,47,539,1,37,16,21,57,218,119,427
2021년 04월 02일,1,16,75,8,57,35,61,47,539,1,37,16,21,57,218,118,426
2021년 04월 01일,1,16,75,8,57,35,61,47,538,1,37,16,21,57,218,118,425
2021년 03월 31일,1,15,75,8,57,35,61,47,537,1,37,16,21,57,217,118,424
2021년 03월 30일,1,15,75,8,57,35,61,46,536,1,37,16,21,57,217,118,424
2021년 03월 29일,1,15,75,8,56,35,61,46,535,1,37,16,21,57,217,118,423
2021년 03월 28일,1,15,75,8,56,35,60,45,534,1,37,16,21,57,216,118,423
2021년 03월 27일,1,15,75,8,56,35,60,45,534,1,37,16,21,57,216,118,422
2021년 03월 26일,1,14,75,8,56,35,60,44,533,1,37,16,21,57,216,118,420
2021년 03월 25일,1,14,75,8,56,35,60,44,530,1,37,16,21,57,216,116,418
2021년 03월 24일,1,14,75,8,56,35,60,43,530,1,37,16,21,57,216,116,417
2021년 03월 23일,1,14,75,8,56,35,60,43,530,1,37,15,21,57,216,116,415
2021년 03월 22일,1,14,75,8,56,35,60,43,526,1,37,15,21,56,215,115,415
2021년 03월 21일,1,14,75,8,56,35,60,43,526,1,37,15,21,56,215,115,414
2021년 03월 20일,1,14,75,8,56,35,60,43,524,1,37,15,21,56,215,115,413
2021년 03월 19일,1,14,73,8,56,35,60,43,523,1,37,15,21,56,215,115,413
2021년 03월 18일,1,14,73,8,56,35,60,42,523,1,37,15,21,56,215,115,412
2021년 03월 17일,1,14,73,8,56,35,60,42,521,1,37,15,21,56,215,115,412
2021년 03월 16일,1,14,72,8,56,35,60,42,518,1,37,15,21,56,215,114,409
2021년 03월 15일,1,14,72,8,56,35,60,42,517,1,37,15,21,56,215,114,407
2021년 03월 14일,1,14,72,8,56,35,60,42,515,1,37,15,21,55,215,114,404
2021년 03월 13일,1,14,72,8,56,35,60,42,515,1,37,15,21,55,215,113,403
2021년 03월 12일,1,14,72,8,56,35,60,42,514,1,37,15,21,55,214,113,400
2021년 03월 11일,1,14,71,8,56,35,60,42,510,1,37,15,21,54,214,110,399
2021년 03월 10일,1,14,71,8,56,35,59,42,508,1,37,15,21,54,214,110,398
2021년 03월 09일,1,14,71,8,56,35,58,42,508,1,37,15,21,54,214,110,396
2021년 03월 08일,1,14,71,8,56,35,58,42,507,1,37,15,21,53,214,109,396
2021년 03월 07일,1,14,71,8,55,35,58,42,502,1,37,15,21,53,214,109,394
2021년 03월 06일,1,13,71,8,55,35,58,42,502,1,37,15,21,53,214,109,393
